"filename", "language", "Python", "comment", "blank", "total"
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/main.py", "Python", -1, 0, 0, -1
"Total", "-", -1, 0, 0, -1
